tipo,subtipo
ATIVO REAL,PRECATÓRIO ESTADUAL DA PARAÍBA - #22/2023
ATIVO REAL,CARTEIRA PRECATÓRIOS FEDERAIS ALIMENTARES #21/2023
ATIVO REAL,CCB - ATIVOS ALTERNATIVOS HURST CAPITAL
ATIVO REAL,CCB - ARTES DO BRASIL
ATIVO REAL,ACERVO JJ - MULHERES CONCRETAS II #04/2023
ATIVO REAL,ACERVO JJ - MULHERES CONCRETAS II #03/2023
DEB,
DEB,
CRI,
DEB,
DEB,
DEB,
DEB,
CRA,
DEB,
DEB,
CRA,
DEB,
DEB,
DEB,
DEB,
DEB,
DEB,
DEB,
DEB,
DEB,
DEB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
DEB,
DEB,
CDB,
CDB,
CRI,
CRI,
CDB,
CDB,
FIDC,
FIDC,
CDB,
CRA,
CRA,
CRA,
CRA,
CRI,
CRI,
CDB,
CDB,
CDB,
CRA,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
DEB,
DEB,
CRI,
CRI,
CRI,
CRI,
CRI,
CRI,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
LF,
LF,
CDB,
CDB,
CRI,
CRI,
CRI,
DEB,
DEB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
LF,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
LC,
CDB,
LC,
CDB,
LC,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CRA,
CRA,
CRI,
CRI,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
LC,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
DEBÊNTURE,
CRA,
CDB,
CDB,
CDB,
CRA,
CRI,
CRI,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
LF,
CDB,
CDB,
CDB,
CRA,
CRA,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
LF,
CDB,
CDB,
CDB,
CDB,
LC,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
DEB,
DEB,
CDB,
CDB,
CDB,
CDB,
DEBÊNTURE,
CDB,
CDB,
CDB,
NC,
NC,
RDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
LF,
LF,
CDB,
CDB,
CDB,
CDB,
CDB,
LC,
LC,
LC,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
DEB,
DEB,
CRA,
CRA,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
LFSN,
CRI,
CRI,
CRA,
LFSN,
CRA,
CRI,
CRI,
CDB,
CDB,
RDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
CDB,
LC,
CDB,
CDB,
CDB,
CDB,
