,tickers
0,5GTK11
1,A1AP34
2,A1BB34
3,A1BM34
4,A1CR34
5,A1DI34
6,A1DM34
7,A1EE34
8,A1EG34
9,A1EN34
10,A1EP34
11,A1ES34
12,A1FL34
13,A1GI34
14,A1GN34
15,A1IV34
16,A1JG34
17,A1KA34
18,A1LB34
19,A1LG34
20,A1LK34
21,A1LL34
22,A1LN34
23,A1LX34
24,A1MB34
25,A1MD34
26,A1ME34
27,A1MP34
28,A1MT34
29,A1MX34
30,A1NE34
31,A1NS34
32,A1NT34
33,A1ON34
34,A1OS34
35,A1PA34
36,A1PD34
37,A1PH34
38,A1RE34
39,A1RG34
40,A1SN34
41,A1SU34
42,A1TH34
43,A1TM34
44,A1TT34
45,A1UA34
46,A1UT34
47,A1VB34
48,A1VY34
49,A1WK34
50,A1YX34
51,A1ZN34
52,AALL34
53,AALR3
54,AAPL34
55,ABBV34
56,ABCB4
57,ABCP11
58,ABEV3
59,ABTT34
60,ABUD34
61,ACNB34
62,ACWI11
63,ADBE34
64,ADHM3
65,ADPR34
66,AERI3
67,AESB3
68,AFCR11
69,AFLT3
70,AFOF11
71,AGRI11
72,AGRO3
73,AGXY3
74,AHEB3
75,AHEB5
76,AHEB6
77,AIEC11
78,AIGB34
79,ALEF3B
80,ALLD3
81,ALMI11
82,ALPA3
83,ALPA4
84,ALPK3
85,ALSO3
86,ALUG11
87,ALUP11
88,ALUP3
89,ALUP4
90,ALZR11
91,AMAR3
92,AMBP3
93,AMER3
94,AMGN34
95,AMZO34
96,ANCR11B
97,ANIM3
98,APER3
99,APTO11
100,APTV34
101,AQLL11
102,ARCT11
103,ARFI11B
104,ARML3
105,ARMT34
106,ARNC34
107,ARRI11
108,ARZZ3
109,ASAI3
110,ASIA11
111,ASML34
112,ATCR11
113,ATMP3
114,ATOM3
115,ATSA11
116,ATTB34
117,ATVI34
118,AURA33
119,AURE3
120,AVGO34
121,AWII34
122,AXPB34
123,AZEV3
124,AZEV4
125,AZOI34
126,AZUL4
127,B1AM34
128,B1AX34
129,B1BL34
130,B1BT34
131,B1CS34
132,B1DX34
133,B1FC34
134,B1GN34
135,B1IL34
136,B1KR34
137,B1LL34
138,B1MR34
139,B1NT34
140,B1PP34
141,B1RF34
142,B1SA34
143,B1SX34
144,B1TI34
145,B1WA34
146,B3SA3
147,BABA34
148,BAHI3
149,BALM3
150,BALM4
151,BARI11
152,BAUH3
153,BAUH4
154,BAZA3
155,BBAS3
156,BBDC3
157,BBDC4
158,BBFI11B
159,BBGO11
160,BBIM11
161,BBML3
162,BBOV11
163,BBPO11
164,BBRC11
165,BBSD11
166,BBSE3
167,BBVJ11
168,BBYY34
169,BCFF11
170,BCIA11
171,BCRI11
172,BCSA34
173,BDLL4
174,BDLL4
175,BDOM11
176,BEEF3
177,BEES3
178,BEES4
179,BERK34
180,BETP3B
181,BGIP3
182,BGIP4
183,BHPG34
184,BICR11
185,BIDI11
186,BIDI3
187,BIDI4
188,BIDU34
189,BIIB34
190,BILB34
191,BIOM3
192,BITH11
193,BITI11
194,BIVB39
195,BJRC11
196,BKBR3
197,BKNG34
198,BLAK34
199,BLAU3
200,BLCP11
201,BLMG11
202,BLMO11
203,BLMR11
204,BLOK11
205,BMEB3
206,BMEB4
207,BMGB4
208,BMII11
209,BMIN3
210,BMIN4
211,BMKS3
212,BMLC11
213,BMOB3
214,BMYB34
215,BNBR3
216,BNFS11
217,BOAC34
218,BOAS3
219,BOBR4
220,BOEI34
221,BONY34
222,BOVA11
223,BOVB11
224,BOVS11
225,BOVV11
226,BOVX11
227,BOXP34
228,BPAC11
229,BPAC3
230,BPAC5
231,BPAN4
232,BPFF11
233,BPMA11
234,BPML11
235,BPRP11
236,BRAP3
237,BRAP4
238,BRAX11
239,BRBI11
240,BRCO11
241,BRCR11
242,BRDT3
243,BREV11
244,BRFS3
245,BRGE11
246,BRGE12
247,BRGE3
248,BRGE5
249,BRGE6
250,BRGE7
251,BRGE8
252,BRHT11B
253,BRIM11
254,BRIT3
255,BRIV3
256,BRIV4
257,BRKM3
258,BRKM5
259,BRKM6
260,BRML3
261,BRPR3
262,BRQB3
263,BRSR3
264,BRSR5
265,BRSR6
266,BSEV3
267,BSLI3
268,BSLI4
269,BTAG11
270,BTAL11
271,BTCBRL
272,BTCR11
273,BTEK11
274,BTLG11
275,BTRA11
276,BTSG11
277,BTTL3
278,BVAR11
279,BXPO11
280,BZLI11
281,C1AB34
282,C1AG34
283,C1AH34
284,C1BL34
285,C1BO34
286,C1BR34
287,C1BS34
288,C1CI34
289,C1CL34
290,C1DN34
291,C1DW34
292,C1EO34
293,C1ER34
294,C1FG34
295,C1FI34
296,C1GP34
297,C1HI34
298,C1HK34
299,C1HL34
300,C1HR34
301,C1HT34
302,C1IC34
303,C1MA34
304,C1MG34
305,C1MI34
306,C1MS34
307,C1NC34
308,C1NP34
309,C1NS34
310,C1OG34
311,C1OO34
312,C1OU34
313,C1PB34
314,C1PR34
315,C1RR34
316,C1SU34
317,C1TA34
318,C1TV34
319,C1TX34
320,C1XO34
321,CABI3B
322,CACO3B
323,CAJI34
324,CAMB3
325,CAML3
326,CAON34
327,CAPH34
328,CARD3
329,CARE11
330,CASH3
331,CATP34
332,CBAV3
333,CBEE3
334,CBOP11
335,CBVI11
336,CCFA11
337,CCRO3
338,CEAB3
339,CEBR3
340,CEBR5
341,CEBR6
342,CEDO3
343,CEDO4
344,CEEB3
